rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2018,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2019,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2020,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2021,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2022,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2023,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2024,1,1,['BIHAR_SAMASTIPUR']
rspm_satisfactory,no2_curtailing,so2_potential,rainfall_low,humidity_low,temperature_low,2025,1,1,['BIHAR_SAMASTIPUR']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2001,1,1,['HIMACHALPRADESH_SOLAN']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2001,4,1,['HIMACHALPRADESH_SHIMLA']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2002,1,1,['HIMACHALPRADESH_SOLAN']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2002,4,3,['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SHIMLA' 'UTTARAKHAND_DEHRADUN']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2003,1,1,['RAJASTHAN_JAIPUR']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2004,1,6,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'RAJASTHAN_ALWAR'
  'UTTARAKHAND_DEHRADUN' 'UTTARPRADESH_KANPURNAGAR' 'UTTARPRADESH_VARANASI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2004,4,1,['HIMACHALPRADESH_SOLAN']
